NAME,Low_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,commercial.weapons Count,activity.sport_club Count,commercial.smoking Count,commercial.food_and_drink.health_food Count
"Birmingham city, Alabama",39326,1,7000,Birmingham city,Alabama,"Birmingham city, Alabama",33.59985265,-86.63221556960227,0.0,1.0,1.0,1.0
"Mobile city, Alabama",50051,1,50000,Mobile city,Alabama,"Mobile city, Alabama",30.6893619,-88.0518965,0.0,0.0,0.0,0.0
"Tuscaloosa city, Alabama",49005,1,77256,Tuscaloosa city,Alabama,"Tuscaloosa city, Alabama",33.1757082,-87.5331056,0.0,0.0,1.0,0.0
"Tucson city, Arizona",51281,4,77000,Tucson city,Arizona,"Tucson city, Arizona",32.222622,-110.97477386698353,0.0,0.0,1.0,0.0
"Fayetteville city, Arkansas",52991,5,23290,Fayetteville city,Arkansas,"Fayetteville city, Arkansas",36.0616665,-94.1611389636298,0.0,0.0,4.0,1.0
"Fort Smith city, Arkansas",47669,5,24550,Fort Smith city,Arkansas,"Fort Smith city, Arkansas",35.384996349999994,-94.42530488055677,1.0,0.0,1.0,0.0
"Pueblo city, Colorado",51697,8,62000,Pueblo city,Colorado,"Pueblo city, Colorado",38.2655776,-104.61104395291898,0.0,0.0,5.0,0.0
"Bridgeport city, Connecticut",50311,9,8000,Bridgeport city,Connecticut,"Bridgeport city, Connecticut",41.1803914,-73.19308230332848,0.0,0.0,9.0,0.0
"Hartford city, Connecticut",41529,9,37000,Hartford city,Connecticut,"Hartford city, Connecticut",41.76255395,-72.67346070409121,0.0,0.0,5.0,1.0
"New Britain city, Connecticut",50209,9,50370,New Britain city,Connecticut,"New Britain city, Connecticut",41.173209,-73.190759,0.0,0.0,9.0,0.0
"Waterbury city, Connecticut",51572,9,80000,Waterbury city,Connecticut,"Waterbury city, Connecticut",41.5540552,-73.0436914,1.0,0.0,1.0,0.0
"Wilmington city, Delaware",52768,10,77580,Wilmington city,Delaware,"Wilmington city, Delaware",39.7405865,-75.5591002,0.0,0.0,4.0,0.0
"Daytona Beach city, Florida",51881,12,16525,Daytona Beach city,Florida,"Daytona Beach city, Florida",29.2069366,-81.0198923,2.0,2.0,5.0,2.0
"Gainesville city, Florida",42453,12,25175,Gainesville city,Florida,"Gainesville city, Florida",29.631326,-82.339833,1.0,2.0,4.0,0.0
"Hialeah city, Florida",52674,12,30000,Hialeah city,Florida,"Hialeah city, Florida",25.8911468,-80.31994594372972,0.0,0.0,0.0,0.0
"Kissimmee city, Florida",44445,12,36950,Kissimmee city,Florida,"Kissimmee city, Florida",28.543089,-81.378698,0.0,0.0,2.0,0.0
"Lauderhill city, Florida",44755,12,39550,Lauderhill city,Florida,"Lauderhill city, Florida",26.1527778,-80.2225,0.0,3.0,0.0,0.0
"Ocala city, Florida",44756,12,50750,Ocala city,Florida,"Ocala city, Florida",29.1850626,-82.13421457600373,0.0,0.0,0.0,1.0
"Pine Hills CDP, Florida",43452,12,56825,Pine Hills CDP,Florida,"Pine Hills CDP, Florida",28.581907,-81.469155,0.0,0.0,0.0,0.0
"Albany city, Georgia",39422,13,1052,Albany city,Georgia,"Albany city, Georgia",31.580711,-84.17833,0.0,0.0,0.0,0.0
"Athens-Clarke County unified government (balance), Georgia",46523,13,3440,Athens-Clarke County unified government (balance),Georgia,"Athens-Clarke County unified government (balance), Georgia",33.95759,-83.358855,0.0,0.0,7.0,1.0
"Augusta-Richmond County consolidated government (balance), Georgia",49838,13,4204,Augusta-Richmond County consolidated government (balance),Georgia,"Augusta-Richmond County consolidated government (balance), Georgia",33.4693345,-81.988562,1.0,1.0,0.0,0.0
