City,State,Lat,Lon,Category_Label,Location_Name,Income
Commerce,Colorado,39.8330585,-104.91148970617284,High,Hop in for Health,102607
Denver,Colorado,39.7392364,-104.984862,High,Evoo Marketplace,88213
Lakewood,Colorado,39.7088571,-105.08304642696726,High,Evoo Marketplace,85988
Thornton,Colorado,39.8686792,-104.960838,High,Hop in for Health,105116
Brandon,Florida,27.93539,-82.299987,High,Socratic Solutions Kratom,75294
Delray Beach,Florida,26.4638162,-80.0746795,High,Fit Food Express,80000
Wesley Chapel,Florida,28.20866,-82.331696,High,Grain and Berry New Tampa,102188
Alpharetta,Georgia,34.07463485,-84.2922705072829,High,Health Nut 2,129946
Atlanta,Georgia,33.75517665,-84.40599247359282,High,Sean's Harvest Market,83251
Roswell,Georgia,34.022464400000004,-84.3601763665493,High,Health Nut 2,130088
Urban Honolulu,Hawaii,21.2967598,-157.8514509667774,High,Lifestream Natural Foods Hawaii,82006
Meridian,Idaho,43.6096104,-116.3931814729916,High,Feed My Fit,89683
Aurora,Illinois,41.7566515,-88.31458416834076,High,Beans Greens Proteins,84578
Aurora,Illinois,41.7566515,-88.31458416834076,High,Fruitful Yield,84578
Bolingbrook village,Illinois,41.69647415,-88.08061223444497,High,Fruitful Yield,91928
Naperville,Illinois,41.762684,-88.190457,High,Fruitful Yield,140831
Naperville,Illinois,41.762684,-88.190457,High,Beans Greens Proteins,140831
Palatine village,Illinois,42.13594665,-88.0360413,High,White Oak Gourmet,92621
Skokie village,Illinois,42.02584935,-87.75616183797185,High,Great Life Health Foods,97059
Ankeny,Iowa,41.73259535,-93.60553609214182,High,Polk City Nutrition,103578
West Des Moines,Iowa,41.5708191,-93.70860759889392,High,Protein House,85731
Shawnee,Kansas,39.017596,-94.826136,High,Bulk It,101063
Boston,Massachusetts,42.360401,-71.05768162905511,High,Juicery,86331
Boston,Massachusetts,42.360401,-71.05768162905511,High,Nourish Your Soul,86331
Boston,Massachusetts,42.360401,-71.05768162905511,High,Pressed Juicery,86331
Boston,Massachusetts,42.360401,-71.05768162905511,High,Cambridge Naturals,86331
Boston,Massachusetts,42.360401,-71.05768162905511,High,Nüssli118,86331
Brockton,Massachusetts,42.082564,-71.01845752916921,High,Optimal Nutrition,74799
Malden,Massachusetts,42.4273477,-71.0727315,High,Cambridge Naturals,99497
Malden,Massachusetts,42.4273477,-71.0727315,High,Nüssli118,99497
Malden,Massachusetts,42.4273477,-71.0727315,High,Juicery,99497
Malden,Massachusetts,42.4273477,-71.0727315,High,Nourish Your Soul,99497
Malden,Massachusetts,42.4273477,-71.0727315,High,Pressed Juicery,99497
Medford,Massachusetts,42.418171,-71.106438,High,Nüssli118,113253
Medford,Massachusetts,42.418171,-71.106438,High,Cambridge Naturals,113253
Medford,Massachusetts,42.418171,-71.106438,High,Nourish Your Soul,113253
Medford,Massachusetts,42.418171,-71.106438,High,Juicery,113253
Medford,Massachusetts,42.418171,-71.106438,High,Pressed Juicery,113253
Newton,Massachusetts,42.34631400000001,-71.23692209511606,High,Pressed Juicery,163074
Somerville,Massachusetts,42.3879326,-71.0835948,High,Cambridge Naturals,124110
Somerville,Massachusetts,42.3879326,-71.0835948,High,Nourish Your Soul,124110
Somerville,Massachusetts,42.3879326,-71.0835948,High,Juicery,124110
Somerville,Massachusetts,42.3879326,-71.0835948,High,Nüssli118,124110
Somerville,Massachusetts,42.3879326,-71.0835948,High,Pressed Juicery,124110
Ann Arbor,Michigan,42.349409,-83.380356,High,Better Health,78740
Farmington Hills,Michigan,42.358305,-83.371683,High,Better Health,104593
Sterling Heights,Michigan,42.58997595,-83.01238253140909,High,Better Health Market,78049
O'Fallon,Missouri,38.6740611,-90.2254554,High,New Dawn,105240
O'Fallon,Missouri,38.6740611,-90.2254554,High,Seedz Provisions,105240
St. Charles,Missouri,38.6311508,-90.197195,High,New Dawn,85798
St. Charles,Missouri,38.6311508,-90.197195,High,Seedz Provisions,85798
Billings,Montana,45.771416900000006,-108.61378934654248,High,Frae Everyday Goods,77711
Billings,Montana,45.771416900000006,-108.61378934654248,High,The Hive Nutrition,77711
Billings,Montana,45.771416900000006,-108.61378934654248,High,Well Pared,77711
Billings,Montana,45.771416900000006,-108.61378934654248,High,Montana Harvest,77711
Billings,Montana,45.771416900000006,-108.61378934654248,High,Bonanza,77711
Enterprise,Nevada,36.033166,-115.20583,High,Vegas Discount Nutrition,90005
Henderson,Nevada,36.03393215,-114.96996071375062,High,Pure Health,81695
North Las Vegas,Nevada,36.218263,-115.3156113,High,Nutrishop,75459
Manchester,New Hampshire,42.9910294,-71.46337742518338,High,Max Nutrition,74769
Bayonne,New Jersey,40.6899596,-74.1024158,High,Woolco Foods Inc,79363
Bayonne,New Jersey,40.6899596,-74.1024158,High,Health Food,79363
Bayonne,New Jersey,40.6899596,-74.1024158,High,Quality Greens,79363
Bayonne,New Jersey,40.6899596,-74.1024158,High,Park Natural Foods,79363
Bayonne,New Jersey,40.6899596,-74.1024158,High,Downtown Natural Market,79363
Bayonne,New Jersey,40.6899596,-74.1024158,High,Bay Ridge Health Food,79363
Clifton,New Jersey,40.86809315,-74.1614352564055,High,Body Delights,95147
Jersey,New Jersey,40.726834,-74.05492052734505,High,Woolco Foods Inc,94080
Jersey,New Jersey,40.726834,-74.05492052734505,High,Quality Greens,94080
Jersey,New Jersey,40.726834,-74.05492052734505,High,HealthSource,94080
Jersey,New Jersey,40.726834,-74.05492052734505,High,Downtown Natural Market,94080
Jersey,New Jersey,40.726834,-74.05492052734505,High,Park Natural Foods,94080
Jersey,New Jersey,40.726834,-74.05492052734505,High,Mast Market,94080
Jersey,New Jersey,40.726834,-74.05492052734505,High,Green Planet,94080
Jersey,New Jersey,40.726834,-74.05492052734505,High,Vanderbilt Green Market,94080
Jersey,New Jersey,40.726834,-74.05492052734505,High,A Matter of Health,94080
Jersey,New Jersey,40.726834,-74.05492052734505,High,Health Food,94080
New Rochelle,New York,42.439191,-76.497211,High,Emmy's Organics,102682
New York,New York,40.7127281,-74.0060152,High,Downtown Natural Market,74694
New York,New York,40.7127281,-74.0060152,High,Park Natural Foods,74694
New York,New York,40.7127281,-74.0060152,High,Quality Greens,74694
New York,New York,40.7127281,-74.0060152,High,HealthSource,74694
New York,New York,40.7127281,-74.0060152,High,Woolco Foods Inc,74694
New York,New York,40.7127281,-74.0060152,High,Green Planet,74694
New York,New York,40.7127281,-74.0060152,High,Vanderbilt Green Market,74694
New York,New York,40.7127281,-74.0060152,High,Fresh Health Food Emporium,74694
New York,New York,40.7127281,-74.0060152,High,A Matter of Health,74694
New York,New York,40.7127281,-74.0060152,High,Mast Market,74694
New York,New York,40.7127281,-74.0060152,High,New World Nutrition,74694
New York,New York,40.7127281,-74.0060152,High,Food Liberation,74694
New York,New York,40.7127281,-74.0060152,High,Food For Health,74694
Apex,North Carolina,35.73388715,-78.84656522378867,High,Envision Nutricenter,126583
Cary,North Carolina,35.75142715,-78.76755491660421,High,Envision Nutricenter,125414
Durham,North Carolina,35.997354349999995,-78.90255008252386,High,Durham Co Op,78105
Broken Arrow,Oklahoma,36.05091135,-95.78991961396083,High,Elevation Nutrition,79075
Beaverton,Oregon,45.45204755,-122.86488717150274,High,Sabye,82916
Hillsboro,Oregon,45.5152463,-122.98942514155895,High,Bienestar Salud Energia,103170
Austin,Texas,30.2648103,-97.74721450826446,High,The Herb Bar,89415
Austin,Texas,30.2648103,-97.74721450826446,High,Snap Kitchen,89415
Carrollton,Texas,32.97631355,-96.88913539700896,High,Green-Biotics,92734
Flower Mound,Texas,33.036481499999994,-97.07113777937062,High,The B-12 Store,144901
Georgetown,Texas,30.714913,-97.716683,High,Natural Grocers,97533
Lewisville,Texas,33.00234635,-96.9717943999129,High,The B-12 Store,78955
New Braunfels,Texas,29.7073056,-98.0883048,High,5 Star Nutrition,79336
New Braunfels,Texas,29.7073056,-98.0883048,High,For Goodness Sake,79336
Pflugerville,Texas,30.44088975,-97.6201335,High,Hang Fung,111956
Plano,Texas,33.0214002,-96.76653591263404,High,Natural Health Shop,103916
Richardson,Texas,32.9552647,-96.70305639471384,High,Natural Health Shop,86175
Rowlett,Texas,35.469264,-97.515679,High,Akin's Natural Foods,106355
The Woodlands,Texas,30.15799,-95.48938,High,néktər Juice Bar,137335
The Woodlands,Texas,30.15799,-95.48938,High,Mantra Juicery,137335
The Woodlands,Texas,30.15799,-95.48938,High,Blue Jug - Alkaline Water & Health Market,137335
The Woodlands,Texas,30.15799,-95.48938,High,Quirky Leaf,137335
The Woodlands,Texas,30.15799,-95.48938,High,Balanced Foods,137335
The Woodlands,Texas,30.15799,-95.48938,High,Healthy Hangout,137335
Salt Lake,Utah,40.7596198,-111.886797,High,Hello! Bulk Markets,75529
Salt Lake,Utah,40.7596198,-111.886797,High,nutricion y bienestar,75529
Salt Lake,Utah,40.7596198,-111.886797,High,Water Fusion,75529
Sandy,Utah,40.5916147,-111.8841013,High,Shirlyn's Natural Foods,104577
South Jordan,Utah,40.6740609,-111.9819364,High,The Nutrition in Kearns,118560
South Jordan,Utah,40.6740609,-111.9819364,High,Shirlyn's Natural Foods,118560
West Jordan,Utah,40.6081402,-111.9273165981965,High,Shirlyn's Natural Foods,95434
West Jordan,Utah,40.6081402,-111.9273165981965,High,The Nutrition in Kearns,95434
West Valley,Utah,40.6967254,-111.986821,High,The Nutrition in Kearns,82378
West Valley,Utah,40.6967254,-111.986821,High,Shirlyn's Natural Foods,82378
West Valley,Utah,40.6967254,-111.986821,High,Hello! Bulk Markets,82378
Centreville,Virginia,38.830024,-77.435746,High,District Eatz,131444
Bellevue,Washington,47.61493035,-122.19573727505184,High,PCC Community Markets,153779
Bellevue,Washington,47.61493035,-122.19573727505184,High,Adrish,153779
Kirkland,Washington,47.6762128,-122.1912163,High,PCC Community Markets,130620
Kirkland,Washington,47.6762128,-122.1912163,High,Adrish,130620
Kirkland,Washington,47.6762128,-122.1912163,High,One Bite Cafe,130620
Marysville,Washington,47.60796,-122.334382,High,One Bite Cafe,104433
Redmond,Washington,47.6576285,-122.089065,High,PCC Community Markets,152851
Redmond,Washington,47.6576285,-122.089065,High,Adrish,152851
Seattle,Washington,47.6177084,-122.3444624,High,One Bite Cafe,115409
Appleton,Wisconsin,44.26226295,-88.40691270331727,High,Exquisite Threading,75262
Birmingham,Alabama,33.59985265,-86.63221556960227,Low,Honey & Spice,39326
Huntsville,Alabama,34.729847,-86.5859011,Low,Nature's Apothecary,68930
Fayetteville,Arkansas,36.0616665,-94.1611389636298,Low,Berry Natural,52991
Little Rock,Arkansas,34.7492587,-92.2754277,Low,360FIT Nutrition,55065
Springdale,Arkansas,36.18691125,-94.12920199533548,Low,Berry Natural,59027
Arden-Arcade,California,38.602265,-121.381746,Low,Vibe Health Food,71457
Bakersfield,California,35.34682555,-119.03545398252858,Low,Apple Tree Health Food,72017
Bellflower,California,33.883545299999994,-118.12195877301458,Low,Generations Church,74131
Bellflower,California,33.883545299999994,-118.12195877301458,Low,Holistic Health,74131
Citrus Heights,California,38.68258675,-121.29690834393745,Low,Sunrise Natural Foods,73923
Citrus Heights,California,38.68258675,-121.29690834393745,Low,Private Label Supplement,73923
El Monte,California,34.0745722,-118.0308389238582,Low,One Veg World Duarte,59368
Redding,California,40.57313875,-122.38167377675435,Low,Nature's Sunshine Products Manager,68551
South Gate,California,37.76972225,-122.46979495263878,Low,Nabila's Naturals,70939
South Gate,California,37.76972225,-122.46979495263878,Low,Pressed Juicery,70939
South Gate,California,37.76972225,-122.46979495263878,Low,Urban Remedy,70939
Grand Junction,Colorado,39.06879965,-108.56393986262825,Low,Eden,61458
Hartford,Connecticut,41.76255395,-72.67346070409121,Low,Juiced Up Juice Bar,41529
New Haven,Connecticut,41.33008695,-72.95980796170194,Low,Viva Nutrition,53909
Boynton Beach,Florida,26.523508,-80.134772,Low,Fit Food Express,66472
Clearwater,Florida,27.9800687,-82.74456341480561,Low,Abbott Blackstone Co.,56474
Daytona Beach,Florida,29.2069366,-81.0198923,Low,Kale Cafe Juice Bar & Vegan Cuisine,51881
Daytona Beach,Florida,29.2069366,-81.0198923,Low,Daytona Heart Group,51881
Daytona Beach,Florida,29.2069366,-81.0198923,Low,Peggy's Discount Health Food,51881
Daytona Beach,Florida,29.2069366,-81.0198923,Low,Peggy's Whole Foods,51881
Daytona Beach,Florida,29.2069366,-81.0198923,Low,Debbie's Health Foods,51881
Largo,Florida,27.9323954,-82.78445355644979,Low,Abbott Blackstone Co.,56408
Miami,Florida,25.7741728,-80.19362,Low,Milk Gone Nuts,60989
Miami Beach,Florida,25.76539,-80.1376572,Low,Milk Gone Nuts,69258
Ocala,Florida,29.1850626,-82.13421457600373,Low,General Nutrition Center,44756
Orlando,Florida,28.35542195,-81.26625779661217,Low,Earth Fare,65354
Port Charlotte,Florida,26.989518,-82.112282,Low,Earth Origins Market,64195
Athens-Clarke County unified government (balance),Georgia,33.95759,-83.358855,Low,Bear Hug Honey,46523
Athens-Clarke County unified government (balance),Georgia,33.95759,-83.358855,Low,WW Studio,46523
Bloomington,Illinois,40.4766298,-88.992535824882,Low,Common Ground Grocery,67592
Bloomington,Illinois,40.4766298,-88.992535824882,Low,Your CBD Store of Bloomington,67592
Chicago,Illinois,41.8876395,-87.61586179175978,Low,Kent Young Health Products,70386
Springfield,Illinois,39.8001686,-89.6457434,Low,Food Fantasies,60082
Evansville,Indiana,40.440862,-80.001797,Low,Back to Basics Nutrition & Dietary Shoppe,48127
Indianapolis (balance),Indiana,39.794769,-86.23491,Low,Simply Puur,61501
Lafayette,Indiana,40.4179044,-86.89097104586222,Low,Nature's Pharm,51439
Lafayette,Indiana,40.4179044,-86.89097104586222,Low,Sunspot Natural Market,51439
Lafayette,Indiana,40.4179044,-86.89097104586222,Low,Healthies Southside,51439
South Bend,Indiana,41.666181050000006,-86.26545739994202,Low,Purple Porch Co-op,51610
South Bend,Indiana,41.666181050000006,-86.26545739994202,Low,Garden Patch Market,51610
Ames,Iowa,42.0263603,-93.61798566847555,Low,Inspire Nutrition,52565
Cedar Rapids,Iowa,41.9774599,-91.66968675700264,Low,Leafy Bar,64435
Iowa,Iowa,41.6683126,-91.57952674093114,Low,New Leaf Wellness,55598
Lawrence,Kansas,39.0664381,-94.6767882,Low,Energizing Mission,59963
Lexington-Fayette urban county,Kentucky,38.0464066,-84.4970393,Low,Roberts Health Foods,62908
Lexington-Fayette urban county,Kentucky,38.0464066,-84.4970393,Low,Trusted Health Products,62908
Louisville/Jefferson County metro government (balance),Kentucky,37.36906505,-121.91768108904876,Low,Omnilife,63049
Louisville/Jefferson County metro government (balance),Kentucky,37.36906505,-121.91768108904876,Low,Prime Time Nutrition,63049
Louisville/Jefferson County metro government (balance),Kentucky,37.36906505,-121.91768108904876,Low,Baby Nutrition,63049
Louisville/Jefferson County metro government (balance),Kentucky,37.36906505,-121.91768108904876,Low,Homeopathic Vibes,63049
Baltimore,Maryland,39.3120962,-76.62377410911603,Low,Total Health Center,55198
Dundalk,Maryland,39.274777,-76.500758,Low,Curves,50648
Lawrence,Massachusetts,42.708218,-71.15997110250137,Low,South Broadway,60632
Lawrence,Massachusetts,42.708218,-71.15997110250137,Low,Fitness Equipment Etc.,60632
Dearborn,Michigan,42.3277545,-83.1567449,Low,Better Health,58467
Dearborn,Michigan,42.3277545,-83.1567449,Low,The Mushroom Hub,58467
Detroit,Michigan,42.3315509,-83.0466403,Low,The Mushroom Hub,36453
Kalamazoo,Michigan,42.274924,-85.587168,Low,Sawall Health food,43509
Warren,Michigan,42.3386095,-83.36414410993372,Low,Better Health,60285
Westland,Michigan,42.3285635,-83.40034995940799,Low,Better Health,56630
Westland,Michigan,42.3285635,-83.40034995940799,Low,Metaphysics Supply Store,56630
Minneapolis,Minnesota,44.9773133,-93.26506828427073,Low,Healthy For Life Meals St Louis Park,74473
Minneapolis,Minnesota,44.9773133,-93.26506828427073,Low,West End Nutrition,74473
Minneapolis,Minnesota,44.9773133,-93.26506828427073,Low,Mastel's Health Food,74473
St. Paul,Minnesota,44.9454337,-93.0946042745516,Low,Mastel's Health Food,67725
Kansas,Missouri,39.0858055,-94.5840781,Low,Energizing Mission,62175
St. Joseph,Missouri,29.5459184,-95.5029482,Low,Desert Bluff Lane,53012
St. Louis,Missouri,38.6280278,-90.1910154,Low,New Dawn,52847
Springfield,Missouri,37.2179252,-93.2906129,Low,Akin's Natural Foods,45400
Lincoln,Nebraska,40.7928265,-96.67596777719668,Low,Red Clover,62391
Omaha,Nebraska,41.28272725,-95.9509501267383,Low,No Name Nutrition Market,67450
Omaha,Nebraska,41.28272725,-95.9509501267383,Low,"Snack Masters, LLC",67450
Las Vegas,Nevada,36.2194186,-115.3273239,Low,Nutrishop,68905
Paradise,Nevada,36.092329,-115.123309,Low,Vegas Discount Nutrition,55578
East Orange,New Jersey,40.7532204,-74.2399736,Low,Health Food,43527
East Orange,New Jersey,40.7532204,-74.2399736,Low,Health Food Mart,43527
East Orange,New Jersey,40.7532204,-74.2399736,Low,Body Delights,43527
Elizabeth,New Jersey,40.6729122,-74.2211187,Low,Health Food,64113
Newark,New Jersey,40.7317764,-74.17360430516698,Low,Health Food,49688
Newark,New Jersey,40.7317764,-74.17360430516698,Low,Body Delights,49688
Newark,New Jersey,40.7317764,-74.17360430516698,Low,Woolco Foods Inc,49688
Passaic,New Jersey,40.8607784,-74.1234093,Low,Body Delights,51551
Paterson,New Jersey,40.9170394,-74.17197468312253,Low,Triarco Industries Inc,47373
Paterson,New Jersey,40.9170394,-74.17197468312253,Low,Wild & Hearty (formerly Samba Bowls),47373
Trenton,New Jersey,40.23680765,-74.78991167849014,Low,Danny's Nutrition Center,52508
Trenton,New Jersey,40.23680765,-74.78991167849014,Low,Discover Great Nutrition,52508
Union,New Jersey,40.77764565,-74.02305767630668,Low,Mast Market,58020
Union,New Jersey,40.77764565,-74.02305767630668,Low,Quality Greens,58020
Union,New Jersey,40.77764565,-74.02305767630668,Low,HealthSource,58020
Union,New Jersey,40.77764565,-74.02305767630668,Low,A Matter of Health,58020
Union,New Jersey,40.77764565,-74.02305767630668,Low,Food Liberation,58020
Union,New Jersey,40.77764565,-74.02305767630668,Low,Food For Health,58020
Union,New Jersey,40.77764565,-74.02305767630668,Low,Woolco Foods Inc,58020
Union,New Jersey,40.77764565,-74.02305767630668,Low,Downtown Natural Market,58020
Albuquerque,New Mexico,35.10207035,-106.6518553136938,Low,Old Town Olive,64757
Albuquerque,New Mexico,35.10207035,-106.6518553136938,Low,C Fit Nutrition,64757
Albuquerque,New Mexico,35.10207035,-106.6518553136938,Low,5300 Sequoia Road Northwest,64757
Albuquerque,New Mexico,35.10207035,-106.6518553136938,Low,Unique,64757
Albany,New York,42.6511674,-73.754968,Low,Lark Street Natual Foods,51386
Albany,New York,42.6511674,-73.754968,Low,Uncle Sam's Natural Health Foods,51386
Cheektowaga,New York,42.90765,-78.76396613904299,Low,95 Nutrition,59167
Cheektowaga,New York,42.90765,-78.76396613904299,Low,Balanced Body Foods,59167
Cheektowaga,New York,42.90765,-78.76396613904299,Low,Feel-Rite Fresh Market,59167
Mount Vernon,New York,40.9118753,-73.821074,Low,Green Life,68075
Schenectady,New York,42.8142432,-73.9395687,Low,Alltown Fresh,55465
Asheville,North Carolina,35.595451800000006,-82.54838658109644,Low,Nature's Vitamins & Herbs,64548
Wilmington,North Carolina,34.2370979,-77.9459748,Low,Healthy James,63835
Bismarck,North Dakota,46.812803,-100.768383,Low,Terry's Health Products,74247
Bismarck,North Dakota,46.812803,-100.768383,Low,Luna Fusion,74247
Bismarck,North Dakota,46.812803,-100.768383,Low,Patriot Nutrition,74247
Fargo,North Dakota,46.88733855,-96.86717058002488,Low,2B Fit Nutrition,59698
Fargo,North Dakota,46.88733855,-96.86717058002488,Low,Healthy Blast,59698
Fargo,North Dakota,46.88733855,-96.86717058002488,Low,Total Balance,59698
Akron,Ohio,41.10737515,-81.52948547647514,Low,Hello Bistro,45534
Cincinnati,Ohio,39.10413605,-84.51968566953926,Low,Kentucky Botanical Co.,48130
Cleveland,Ohio,41.4934882,-81.7081179,Low,Pulp,37351
Dayton,Ohio,39.75955985,-84.19401335698002,Low,Olympia Health Food Center,43780
Lorain,Ohio,41.4685329,-82.1792667,Low,Juice Me Juice Bar,46592
Lorain,Ohio,41.4685329,-82.1792667,Low,Right Track Nutrition,46592
Toledo,Ohio,41.65820945,-83.52075350061591,Low,Bassett's Health Foods,47365
Toledo,Ohio,41.65820945,-83.52075350061591,Low,The Healthy Spot Nutrition,47365
Oklahoma,Oklahoma,35.4729886,-97.5170536,Low,Akin's Natural Foods,63713
Tulsa,Oklahoma,36.1627012,-95.96992815442714,Low,Lit Nutrition Tulsa,54040
Eugene,Oregon,44.0989093,-123.129393,Low,One Vision Nutrition,61288
Allentown,Pennsylvania,40.6040356,-75.4795782,Low,Queen's Nutritional Products,55949
Allentown,Pennsylvania,40.6040356,-75.4795782,Low,The Big Red Barn,55949
Allentown,Pennsylvania,40.6040356,-75.4795782,Low,KE Health,55949
Bethlehem,Pennsylvania,40.6258352,-75.3741697,Low,KE Health,61786
Bethlehem,Pennsylvania,40.6258352,-75.3741697,Low,Queen's Nutritional Products,61786
Bethlehem,Pennsylvania,40.6258352,-75.3741697,Low,The Muscle Store,61786
Pittsburgh,Pennsylvania,40.438092,-79.99724819199265,Low,Back to Basics Nutrition & Dietary Shoppe,63380
Reading,Pennsylvania,40.3371195,-75.92146829883839,Low,Nature's Garden,43496
