,Cities,States,Lat,Lon,Low Income
0,Auburn,Alabama,32.60101385,-85.51665708295118,54839
1,Birmingham,Alabama,33.59985265,-86.63221556960227,39326
2,Dothan,Alabama,31.22180825,-85.37800064140656,53929
3,Huntsville,Alabama,34.729847,-86.5859011,68930
4,Mobile,Alabama,30.6893619,-88.0518965,50051
5,Montgomery,Alabama,32.372562349999995,-86.30544414029366,55108
6,Tuscaloosa,Alabama,33.1757082,-87.5331056,49005
7,Avondale,Arizona,33.4355977,-112.349602,66801
8,Flagstaff,Arizona,35.238625799999994,-111.66325839519725,63612
9,Glendale,Arizona,33.5386858,-112.185994,72411
10,Tucson,Arizona,32.222622,-110.97477386698353,51281
11,Yuma,Arizona,33.4351375,-112.0751188,58043
12,Conway,Arkansas,35.0893262,-92.439956,61898
13,Fayetteville,Arkansas,36.0616665,-94.1611389636298,52991
14,Fort Smith,Arkansas,35.384996349999994,-94.42530488055677,47669
15,Jonesboro,Arkansas,35.8386857,-90.7073347,61057
16,Little Rock,Arkansas,34.7492587,-92.2754277,55065
17,Springdale,Arkansas,36.18691125,-94.12920199533548,59027
18,Alhambra,California,34.0925094,-118.1272924,72406
19,Apple Valley,California,33.904043,-116.48276,56187
20,Arden-Arcade,California,38.602265,-121.381746,71457
21,Bakersfield,California,35.34682555,-119.03545398252858,72017
22,Baldwin Park,California,34.88697,-117.030899,70418
23,Bellflower,California,33.883545299999994,-118.12195877301458,74131
24,Chico,California,39.7286094,-121.8380227,65021
25,Citrus Heights,California,38.68258675,-121.29690834393745,73923
26,Compton,California,33.9043727,-118.2421992,68355
27,Davis,California,40.6389397,-93.8085217,67373
28,East Los Angeles,California,34.02963,-118.168648,64156
29,El Cajon,California,34.29889,-117.45644,66045
30,El Monte,California,34.0745722,-118.0308389238582,59368
31,Fresno,California,36.884074350000006,-119.7364962512952,64196
32,Hawthorne,California,33.91853285,-118.35429657366072,73515
33,Hemet,California,33.737811,-116.995579,54156
34,Hesperia,California,34.4272152,-117.31674885808042,73821
35,Inglewood,California,33.9651038,-118.339544310373,62601
36,Lynwood,California,33.9269596,-118.1970152,64481
37,Madera,California,36.964948,-120.076345,67454
38,Merced,California,37.30735295,-120.4821971251814,64160
39,Modesto,California,37.7000705,-121.0230916,73275
40,Redding,California,40.57313875,-122.38167377675435,68551
41,San Bernardino,California,34.0054691,-117.0431797,62801
42,South Gate,California,37.76972225,-122.46979495263878,70939
43,Tulare,California,36.206914,-119.34271976671144,58586
44,Victorville,California,34.51130155,-117.32271703329296,69569
45,Yuba,California,39.1404477,-121.6169108,59588
46,Grand Junction,Colorado,39.06879965,-108.56393986262825,61458
47,Greeley,Colorado,40.4222295,-104.6953697,69338
48,Pueblo,Colorado,38.2655776,-104.61104395291898,51697
49,Bridgeport,Connecticut,41.1803914,-73.19308230332848,50311
50,Hartford,Connecticut,41.76255395,-72.67346070409121,41529
51,New Britain,Connecticut,41.173209,-73.190759,50209
52,New Haven,Connecticut,41.33008695,-72.95980796170194,53909
53,Waterbury,Connecticut,41.5540552,-73.0436914,51572
54,Wilmington,Delaware,39.7405865,-75.5591002,52768
55,Boynton Beach,Florida,26.523508,-80.134772,66472
56,Clearwater,Florida,27.9800687,-82.74456341480561,56474
57,Daytona Beach,Florida,29.2069366,-81.0198923,51881
58,Deerfield Beach,Florida,30.405343,-86.458559,65465
59,Deltona,Florida,28.92737035,-81.22193361979444,73115
60,Fort Myers,Florida,30.406801,-87.225746,62981
61,Gainesville,Florida,29.631326,-82.339833,42453
62,Hialeah,Florida,25.8911468,-80.31994594372972,52674
63,Hollywood,Florida,26.0110834,-80.1594579,59917
64,Homestead,Florida,25.4598658,-80.466251,60530
65,Jacksonville,Florida,30.33006445,-81.65905544651602,69309
66,Kissimmee,Florida,28.543089,-81.378698,44445
67,Lakeland,Florida,28.0061,-81.9281,58524
68,Largo,Florida,27.9323954,-82.78445355644979,56408
69,Lauderhill,Florida,26.1527778,-80.2225,44755
70,Lehigh Acres,Florida,26.62535,-81.6248,65816
71,Melbourne,Florida,28.14014685,-80.58370123746208,64331
72,Miami,Florida,25.7741728,-80.19362,60989
73,Miami Beach,Florida,25.76539,-80.1376572,69258
74,Miami Gardens,Florida,28.543089,-81.378698,61496
75,Ocala,Florida,29.1850626,-82.13421457600373,44756
76,Orlando,Florida,28.35542195,-81.26625779661217,65354
77,Palm Bay,Florida,29.7566,-85.02047,71645
78,Palm Coast,Florida,28.543089,-81.378698,68434
79,Pine Hills,Florida,28.581907,-81.469155,43452
80,Poinciana,Florida,28.108626,-81.476172,59367
81,Pompano Beach,Florida,30.383495,-86.418076,61037
82,Port Charlotte,Florida,26.989518,-82.112282,64195
83,Port St. Lucie,Florida,28.543089,-81.378698,70613
84,St. Petersburg,Florida,27.8101496,-82.7204414,69941
85,Spring Hill,Florida,28.483651,-82.52145,62670
86,Sunrise,Florida,26.1294873,-80.33551628973986,74047
87,Tallahassee,Florida,30.4461113,-84.28273060544674,53867
88,Tamarac,Florida,28.543089,-81.378698,54574
89,Tampa,Florida,27.953105,-82.4507037,71089
90,Town 'n' Country,Florida,28.00971,-82.574935,65783
91,West Palm Beach,Florida,28.543089,-81.378698,71138
92,Albany,Georgia,31.580711,-84.17833,39422
93,Athens-Clarke County unified government (balance),Georgia,33.95759,-83.358855,46523
94,Augusta-Richmond County consolidated government (balance),Georgia,33.4693345,-81.988562,49838
95,Columbus,Georgia,32.4973641,-84.9915988,53750
96,Macon-Bibb County,Georgia,32.8406946,-83.6324022,47625
97,Savannah,Georgia,32.0818302,-81.0906924,53258
98,Warner Robins,Georgia,32.6200362,-83.6072696,57967
99,Caldwell,Idaho,43.66778875,-116.6923956652292,63939
100,Idaho Falls,Idaho,42.68046,-114.4242,72007
101,Nampa,Idaho,43.58231,-116.57005827990676,71060
102,Bloomington,Illinois,40.4766298,-88.992535824882,67592
103,Champaign,Illinois,40.104535,-88.272156,56148
104,Chicago,Illinois,41.8876395,-87.61586179175978,70386
105,Cicero,Illinois,41.846962,-87.759289,67111
106,Decatur,Illinois,40.265028,-89.191575,49714
107,Peoria,Illinois,40.692568,-89.59300960737687,55955
108,Rockford,Illinois,42.26765455,-89.08808785238159,53994
109,Springfield,Illinois,39.8001686,-89.6457434,60082
110,Waukegan,Illinois,42.3608434,-87.83447762749846,64299
111,Bloomington,Indiana,39.12296945,-86.53201577420967,47360
112,Evansville,Indiana,40.440862,-80.001797,48127
113,Fort Wayne,Indiana,39.874975,-85.997186,58439
114,Gary,Indiana,32.030637,-94.37784943280631,36153
115,Hammond,Indiana,41.6051069,-87.50823735949376,53878
116,Indianapolis (balance),Indiana,39.794769,-86.23491,61501
117,Lafayette,Indiana,40.4179044,-86.89097104586222,51439
118,Muncie,Indiana,40.19564235,-85.38703095861145,40968
119,South Bend,Indiana,41.666181050000006,-86.26545739994202,51610
120,Ames,Iowa,42.0263603,-93.61798566847555,52565
121,Cedar Rapids,Iowa,41.9774599,-91.66968675700264,64435
122,Davenport,Iowa,41.523852000000005,-90.57665405538714,54630
123,Des Moines,Iowa,41.589092,-93.61656545721924,58018
124,Iowa,Iowa,41.6683126,-91.57952674093114,55598
125,Sioux,Iowa,42.4966815,-96.4058782,61836
126,Waterloo,Iowa,42.4989181,-92.3321273,52888
127,Kansas,Kansas,37.148549,-98.032761,58233
128,Lawrence,Kansas,39.0664381,-94.6767882,59963
129,Topeka,Kansas,39.08320255,-95.8795183923203,50709
130,Wichita,Kansas,37.7797346,-97.3011544,59277
131,Bowling Green,Kentucky,37.409955,-86.484523,45812
132,Lexington-Fayette urban county,Kentucky,38.0464066,-84.4970393,62908
133,Louisville/Jefferson County metro government (balance),Kentucky,37.36906505,-121.91768108904876,63049
134,Baton Rouge,Louisiana,30.445671,-91.1114748,50304
135,Kenner,Louisiana,30.03269005,-90.2667866376518,56906
136,Lafayette,Louisiana,30.2204787,-92.0245651,50504
137,Lake Charles,Louisiana,30.22601805,-93.21729785646288,56666
138,Metairie,Louisiana,29.996968,-90.178046,74528
139,New Orleans,Louisiana,29.9461665,-90.0784417,52322
140,Shreveport,Louisiana,32.4903195,-93.7019392,43643
141,Portland,Maine,43.659240350000005,-70.25735922170654,69046
142,Baltimore,Maryland,39.3120962,-76.62377410911603,55198
143,Dundalk,Maryland,39.274777,-76.500758,50648
144,Fall River,Massachusetts,42.567154,-71.299784,46789
145,Lawrence,Massachusetts,42.708218,-71.15997110250137,60632
146,Lowell,Massachusetts,42.6253826,-71.3199172,72349
147,Lynn,Massachusetts,42.4648113,-70.9512465,62374
148,New Bedford,Massachusetts,41.173209,-73.190759,53024
149,Springfield,Massachusetts,42.101428,-72.5899948,44286
150,Worcester,Massachusetts,42.2625633,-71.801867,61935
151,Dearborn,Michigan,42.3277545,-83.1567449,58467
152,Detroit,Michigan,42.3315509,-83.0466403,36453
153,Flint,Michigan,43.0228767,-83.69808941025136,33036
154,Grand Rapids,Michigan,42.347972,-86.298277,65660
155,Kalamazoo,Michigan,42.274924,-85.587168,43509
156,Lansing,Michigan,42.7340573,-84.553437,48962
157,Southfield,Michigan,42.4737,-83.267776,65316
158,Warren,Michigan,42.3386095,-83.36414410993372,60285
159,Westland,Michigan,42.3285635,-83.40034995940799,56630
160,Wyoming,Michigan,37.5098323,-81.9284529,64499
